epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,899.666,0.35547,0.54991,0.54475,0.86554,0.99954,0.99952,0.995,0.97842,0.99958,0.99956,0.99499,0.96394,0.19815,0.31902,0.20598,0.78801,0.003332,0.003332,0.003332
2,2142.49,0.32247,0.39099,0.29219,0.85718,0.99991,1,0.995,0.9845,0.99991,1,0.995,0.97205,0.18557,0.27,0.16053,0.7851,0.0063354,0.0063354,0.0063354
3,8628.31,0.32851,0.38006,0.26211,0.86338,0.99973,0.99979,0.99499,0.98447,0.99973,0.99979,0.99499,0.97613,0.18628,0.26586,0.15773,0.79305,0.0090088,0.0090088,0.0090088
4,27708.6,0.30798,0.3692,0.23631,0.85927,0.99966,0.99985,0.995,0.9888,0.99969,0.99979,0.995,0.98188,0.16563,0.23891,0.13426,0.78484,0.008515,0.008515,0.008515
5,28593.1,0.27676,0.33543,0.20938,0.84951,0.9999,0.99997,0.995,0.99106,0.9999,0.99997,0.995,0.98459,0.14242,0.21005,0.11569,0.77726,0.00802,0.00802,0.00802
6,29449.6,0.25628,0.31618,0.19262,0.84403,0.9999,0.99999,0.995,0.99218,0.9999,0.99999,0.995,0.98765,0.13379,0.19862,0.10815,0.77362,0.007525,0.007525,0.007525
7,30304.8,0.24277,0.29929,0.18124,0.84017,0.99999,0.99997,0.995,0.99266,0.99999,0.99997,0.995,0.98835,0.12324,0.18927,0.09807,0.77169,0.00703,0.00703,0.00703
8,31160.1,0.2311,0.28919,0.17255,0.837,0.99993,0.99997,0.995,0.99328,0.99993,0.99997,0.995,0.98939,0.11972,0.1809,0.09326,0.76988,0.006535,0.006535,0.006535
9,32023,0.22222,0.28003,0.16537,0.83478,1,0.99997,0.995,0.99377,1,0.99997,0.995,0.99001,0.11107,0.17361,0.08608,0.76586,0.00604,0.00604,0.00604
10,32897.1,0.21411,0.27101,0.15907,0.83246,1,1,0.995,0.9941,1,1,0.995,0.99034,0.1055,0.16558,0.08404,0.76689,0.005545,0.005545,0.005545
11,34004.8,0.16179,0.21257,0.12513,0.79051,0.99996,0.99997,0.995,0.99425,0.99996,0.99997,0.995,0.99151,0.10147,0.15697,0.0809,0.76325,0.00505,0.00505,0.00505
12,35177.8,0.15296,0.20277,0.11728,0.78718,1,0.99998,0.995,0.9943,1,0.99998,0.995,0.99179,0.09715,0.15023,0.07762,0.76228,0.004555,0.004555,0.004555
13,36122.1,0.14398,0.18945,0.11222,0.78636,0.99999,1,0.995,0.99449,0.99999,1,0.995,0.99247,0.08952,0.13871,0.07214,0.76087,0.00406,0.00406,0.00406
14,37032.1,0.13489,0.17933,0.10426,0.78404,0.99999,1,0.995,0.99448,0.99999,1,0.995,0.9926,0.08424,0.12751,0.06872,0.76042,0.003565,0.003565,0.003565
15,37951.8,0.12681,0.16848,0.09839,0.78223,1,1,0.995,0.99453,1,1,0.995,0.99259,0.08021,0.12085,0.06603,0.75998,0.00307,0.00307,0.00307
16,38834.8,0.12021,0.15916,0.09352,0.78106,0.99999,1,0.995,0.99471,0.99999,1,0.995,0.99275,0.07752,0.11537,0.06369,0.75913,0.002575,0.002575,0.002575
17,39708.6,0.11354,0.15007,0.08873,0.77938,1,1,0.995,0.99474,1,1,0.995,0.99301,0.07526,0.11127,0.06179,0.7585,0.00208,0.00208,0.00208
18,40657,0.10751,0.14342,0.0833,0.7792,1,1,0.995,0.99483,1,1,0.995,0.99321,0.07313,0.10825,0.05973,0.75833,0.001585,0.001585,0.001585
19,41575.4,0.10137,0.13627,0.07756,0.77703,1,1,0.995,0.99485,1,1,0.995,0.99329,0.07164,0.10601,0.05835,0.75774,0.00109,0.00109,0.00109
20,42481.7,0.09579,0.12952,0.07269,0.7759,1,1,0.995,0.99482,1,1,0.995,0.9933,0.07064,0.10474,0.05721,0.75759,0.000595,0.000595,0.000595
