epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.967,0.55196,0.82354,0.90702,1.04954,0.98754,0.99689,0.99364,0.93288,0.98754,0.99689,0.99364,0.87762,0.70207,0.64477,0.77156,1.5495,0.000663923,0.000663923,0.000663923
2,209.782,0.50712,0.62269,0.49787,0.99218,0.98879,0.99586,0.99443,0.93296,0.98879,0.99586,0.99443,0.98114,0.68699,0.30573,0.52378,1.60962,0.00126473,0.00126473,0.00126473
3,313.543,0.48563,0.57922,0.40784,0.98292,0.99897,0.99999,0.99497,0.94794,0.99897,0.99999,0.99497,0.99039,0.59491,0.20361,0.36902,1.25156,0.00179953,0.00179953,0.00179953
4,418.113,0.44841,0.56406,0.35987,0.96149,0.97834,0.98551,0.99422,0.95899,0.97854,0.98654,0.99423,0.9736,0.6733,0.31241,0.47217,1.41456,0.001703,0.001703,0.001703
5,516.228,0.4215,0.48955,0.3295,0.95103,0.98858,1,0.99491,0.98766,0.98858,1,0.99491,0.97657,0.56916,0.34219,0.37102,1.39846,0.001604,0.001604,0.001604
6,612.697,0.38969,0.45595,0.30569,0.94175,0.99819,1,0.995,0.98759,0.99939,0.99793,0.995,0.99352,0.57986,0.1684,0.29743,1.40742,0.001505,0.001505,0.001505
7,704.071,0.36143,0.41725,0.28334,0.92766,0.99994,1,0.995,0.99,0.99994,1,0.995,0.99478,0.56911,0.15655,0.26933,1.47861,0.001406,0.001406,0.001406
8,800.688,0.34812,0.42203,0.26991,0.92148,0.99993,1,0.995,0.99118,0.99993,1,0.995,0.99356,0.55278,0.1294,0.27589,1.56253,0.001307,0.001307,0.001307
9,904.989,0.33135,0.39172,0.25521,0.91906,0.99988,1,0.995,0.99343,0.99988,1,0.995,0.99486,0.5241,0.11123,0.24381,1.42052,0.001208,0.001208,0.001208
10,1006.06,0.31442,0.36511,0.24212,0.90742,0.99993,1,0.995,0.99325,0.99993,1,0.995,0.99345,0.52327,0.17893,0.24325,1.3502,0.001109,0.001109,0.001109
11,1123.77,0.25194,0.25124,0.21079,0.86824,0.99896,1,0.995,0.99194,0.99896,1,0.995,0.99478,0.5528,0.11158,0.27122,1.4426,0.00101,0.00101,0.00101
12,1221.67,0.23826,0.24024,0.19868,0.85689,0.99994,1,0.995,0.994,0.99994,1,0.995,0.99473,0.53467,0.12706,0.24837,1.41037,0.000911,0.000911,0.000911
13,1319.83,0.2213,0.23005,0.18038,0.85072,0.99992,1,0.995,0.99481,0.99992,1,0.995,0.99492,0.5096,0.10121,0.23488,1.44866,0.000812,0.000812,0.000812
14,1412.19,0.20008,0.21129,0.1653,0.8403,0.99971,1,0.995,0.99464,0.99971,1,0.995,0.995,0.49516,0.09931,0.22491,1.48334,0.000713,0.000713,0.000713
15,1502.98,0.19281,0.20641,0.15867,0.83842,0.99993,1,0.995,0.99444,0.99993,1,0.995,0.995,0.49096,0.08646,0.2239,1.49733,0.000614,0.000614,0.000614
16,1608.03,0.18102,0.19519,0.14981,0.82964,0.99823,1,0.995,0.99422,0.99823,1,0.995,0.99498,0.47988,0.09403,0.21753,1.46051,0.000515,0.000515,0.000515
17,1714.88,0.1645,0.19103,0.1356,0.82417,0.99994,1,0.995,0.99483,0.99994,1,0.995,0.99497,0.47364,0.08633,0.20576,1.4787,0.000416,0.000416,0.000416
18,1827.83,0.1539,0.18195,0.12826,0.81865,0.99995,1,0.995,0.99447,0.99995,1,0.995,0.995,0.46092,0.08934,0.19913,1.53447,0.000317,0.000317,0.000317
19,1937.36,0.14042,0.17498,0.11583,0.81663,0.99994,1,0.995,0.99464,0.99994,1,0.995,0.995,0.46058,0.088,0.1998,1.55404,0.000218,0.000218,0.000218
20,2044.94,0.13019,0.16608,0.10822,0.8104,0.99994,1,0.995,0.99474,0.99994,1,0.995,0.995,0.44954,0.08695,0.19321,1.5697,0.000119,0.000119,0.000119
