epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,190.322,0.49112,0.64636,0.73496,1.00904,0.99302,0.97221,0.99351,0.94425,0.99184,0.97105,0.99333,0.97149,0.61354,0.31765,0.64948,1.40179,0.000665217,0.000665217,0.000665217
2,368.176,0.43828,0.46381,0.38253,0.96072,0.99366,0.99809,0.99496,0.97578,0.99542,0.99653,0.99497,0.99001,0.57225,0.17131,0.34385,1.3141,0.00126596,0.00126596,0.00126596
3,549.724,0.42142,0.44263,0.33451,0.94963,0.99871,1,0.995,0.98171,0.99871,1,0.995,0.99151,0.5258,0.18208,0.33134,1.27619,0.00180069,0.00180069,0.00180069
4,718.48,0.38839,0.40286,0.30089,0.93543,0.99994,1,0.995,0.98632,0.99994,1,0.995,0.99005,0.49792,0.17456,0.2648,1.33262,0.001703,0.001703,0.001703
5,885.343,0.34967,0.35788,0.26947,0.92043,0.99765,1,0.99499,0.98653,0.99765,1,0.99499,0.9933,0.49727,0.1271,0.27404,1.29194,0.001604,0.001604,0.001604
6,1046.72,0.33005,0.33662,0.2543,0.91081,0.99995,1,0.995,0.99224,0.99995,1,0.995,0.99361,0.45646,0.12362,0.24835,1.31193,0.001505,0.001505,0.001505
7,1200.66,0.30745,0.31706,0.23659,0.90124,0.99992,1,0.995,0.99318,0.99992,1,0.995,0.99447,0.45819,0.11486,0.24592,1.34057,0.001406,0.001406,0.001406
8,1353.78,0.29902,0.30528,0.22825,0.90051,0.99928,1,0.995,0.99327,0.99928,1,0.995,0.99447,0.44479,0.11347,0.24923,1.20365,0.001307,0.001307,0.001307
9,1505.59,0.28908,0.30149,0.22262,0.89986,0.99994,1,0.995,0.99219,0.99994,1,0.995,0.99473,0.44171,0.1053,0.2141,1.37578,0.001208,0.001208,0.001208
10,1657.4,0.27456,0.29298,0.21191,0.89219,0.99976,1,0.995,0.99349,0.99976,1,0.995,0.99472,0.43175,0.10897,0.21189,1.27716,0.001109,0.001109,0.001109
11,1824.78,0.21532,0.1732,0.17999,0.84783,0.99995,1,0.995,0.9935,0.99995,1,0.995,0.99482,0.44918,0.10563,0.20992,1.34172,0.00101,0.00101,0.00101
12,2775.83,0.1991,0.16811,0.16066,0.83836,0.99993,1,0.995,0.99387,0.99993,1,0.995,0.99475,0.44639,0.09899,0.21279,1.33605,0.000911,0.000911,0.000911
13,2951.8,0.18552,0.16146,0.15074,0.83341,0.99984,1,0.995,0.99372,0.99984,1,0.995,0.99475,0.4261,0.10532,0.19999,1.36413,0.000812,0.000812,0.000812
14,3134.55,0.17449,0.15443,0.14334,0.82503,0.99997,1,0.995,0.99437,0.99997,1,0.995,0.99471,0.40671,0.09235,0.19346,1.33094,0.000713,0.000713,0.000713
15,3316.42,0.16027,0.14718,0.13239,0.8211,0.99995,1,0.995,0.9943,0.99995,1,0.995,0.99476,0.40246,0.09247,0.18999,1.39587,0.000614,0.000614,0.000614
16,3502.54,0.15479,0.14712,0.12628,0.81661,0.99996,1,0.995,0.99461,0.99996,1,0.995,0.99486,0.40193,0.09145,0.18187,1.37292,0.000515,0.000515,0.000515
17,3685.58,0.13941,0.1383,0.11408,0.81424,0.99997,1,0.995,0.99474,0.99997,1,0.995,0.99488,0.39155,0.08863,0.1742,1.38826,0.000416,0.000416,0.000416
18,3873.97,0.12966,0.13489,0.103,0.80773,0.99997,1,0.995,0.99466,0.99997,1,0.995,0.99484,0.3851,0.08455,0.17161,1.41305,0.000317,0.000317,0.000317
19,4062.17,0.12045,0.13152,0.09827,0.8064,0.99997,1,0.995,0.99448,0.99997,1,0.995,0.99489,0.37888,0.08563,0.16979,1.4139,0.000218,0.000218,0.000218
20,4248.62,0.11341,0.12798,0.09067,0.80556,0.99997,1,0.995,0.99452,0.99997,1,0.995,0.99494,0.37749,0.08354,0.16843,1.43618,0.000119,0.000119,0.000119
