epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1949.21,0.32438,0.53648,0.49281,0.87525,0.99978,0.99978,0.995,0.98728,0.9998,0.99981,0.995,0.96634,0.16152,0.27782,0.16676,0.78659,0.00333244,0.00333244,0.00333244
2,3869.87,0.28918,0.36021,0.26592,0.8616,0.99966,0.99977,0.995,0.98944,0.99966,0.99977,0.995,0.97535,0.15108,0.24698,0.12894,0.78354,0.00633582,0.00633582,0.00633582
3,5513.85,0.29279,0.35612,0.24141,0.86717,0.99966,0.99983,0.99499,0.99077,0.99968,0.99985,0.995,0.98109,0.15216,0.22967,0.11972,0.78125,0.0090092,0.0090092,0.0090092
4,6957.65,0.27145,0.33775,0.21735,0.86137,0.9999,0.99982,0.995,0.99299,0.9999,0.99982,0.995,0.98519,0.13129,0.20923,0.10402,0.77425,0.008515,0.008515,0.008515
5,8702.56,0.24102,0.30503,0.19227,0.85295,0.99996,0.99988,0.995,0.99367,0.99996,0.99988,0.995,0.98777,0.11526,0.18507,0.09038,0.76863,0.00802,0.00802,0.00802
6,10576.7,0.22507,0.28829,0.17882,0.84777,0.99995,0.99993,0.995,0.99417,0.99995,0.99993,0.995,0.98964,0.10931,0.17806,0.08472,0.76656,0.007525,0.007525,0.007525
7,12161.3,0.2127,0.27085,0.16911,0.84419,0.99998,0.99995,0.995,0.9943,0.99995,0.99992,0.99499,0.98987,0.10361,0.16881,0.07878,0.76502,0.00703,0.00703,0.00703
8,13531.6,0.2033,0.26254,0.16082,0.84136,0.99997,0.99993,0.995,0.99448,0.99997,0.99993,0.995,0.99079,0.09845,0.16071,0.07372,0.76353,0.006535,0.006535,0.006535
9,14960.6,0.19601,0.2528,0.15423,0.83949,1,0.99995,0.995,0.99458,1,0.99995,0.995,0.99076,0.09455,0.1576,0.07022,0.76232,0.00604,0.00604,0.00604
10,16325.2,0.18914,0.2444,0.14918,0.83768,0.99998,0.99993,0.995,0.99464,0.99998,0.99993,0.995,0.99156,0.09194,0.15088,0.06784,0.76175,0.005545,0.005545,0.005545
11,17767.3,0.13708,0.1956,0.11146,0.79202,0.99995,0.99998,0.995,0.99482,0.99995,0.99998,0.995,0.992,0.08776,0.14705,0.06583,0.76027,0.00505,0.00505,0.00505
12,19135.2,0.12945,0.18499,0.10471,0.78929,0.99999,0.99995,0.995,0.99483,0.99999,0.99995,0.995,0.99223,0.08619,0.14344,0.06393,0.7597,0.004555,0.004555,0.004555
13,20586.7,0.12235,0.17735,0.09896,0.78676,1,0.99995,0.995,0.99487,1,0.99995,0.995,0.99239,0.08359,0.13987,0.06157,0.75919,0.00406,0.00406,0.00406
14,21894.5,0.11597,0.17009,0.09312,0.78569,1,0.99995,0.995,0.99486,1,0.99995,0.995,0.99268,0.08116,0.13712,0.05951,0.75883,0.003565,0.003565,0.003565
15,23189.7,0.11075,0.16478,0.08874,0.78482,1,0.99995,0.995,0.99487,1,0.99995,0.995,0.99285,0.0792,0.13485,0.05818,0.75847,0.00307,0.00307,0.00307
16,24468.6,0.1059,0.1589,0.08585,0.78285,1,0.99993,0.995,0.99488,1,0.99993,0.995,0.99291,0.07794,0.13328,0.05704,0.75821,0.002575,0.002575,0.002575
17,25726.2,0.09949,0.14828,0.08106,0.78162,1,0.99993,0.995,0.99489,1,0.99993,0.995,0.993,0.0772,0.13178,0.05645,0.75799,0.00208,0.00208,0.00208
18,27043.8,0.09228,0.13738,0.07443,0.78041,1,0.99993,0.995,0.99489,1,0.99993,0.995,0.99307,0.07635,0.13053,0.05578,0.75778,0.001585,0.001585,0.001585
19,28417.3,0.08597,0.12659,0.07006,0.77949,1,0.99993,0.995,0.99491,1,0.99993,0.995,0.99311,0.07568,0.12945,0.05494,0.75762,0.00109,0.00109,0.00109
20,29855.2,0.08078,0.11908,0.06623,0.77855,1,0.99993,0.995,0.99491,1,0.99993,0.995,0.99321,0.07507,0.12833,0.05473,0.75746,0.000595,0.000595,0.000595
