epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,104.598,0.3503,0.37184,0.73494,0.89356,0.99992,1,0.995,0.93996,0.99992,1,0.995,0.995,0.3067,0.08346,0.50598,0.85553,0.000664,0.000664,0.000664
2,198.402,0.31937,0.1669,0.36495,0.87756,0.99981,0.999,0.995,0.98409,0.99981,0.999,0.995,0.99496,0.22031,0.0518,0.30416,0.80631,0.0012648,0.0012648,0.0012648
3,292.178,0.31056,0.1453,0.29241,0.87315,0.99865,1,0.99496,0.99138,0.99865,1,0.99496,0.99471,0.20727,0.04514,0.24298,0.80141,0.0017996,0.0017996,0.0017996
4,383.795,0.30259,0.1959,0.27179,0.88558,0.99874,1,0.995,0.98432,0.99874,1,0.995,0.99327,0.21988,0.08109,0.23021,0.82311,0.001703,0.001703,0.001703
5,474.899,0.29709,0.24275,0.25717,0.90337,0.9997,1,0.995,0.99309,0.9997,1,0.995,0.995,0.1742,0.06329,0.16311,0.79802,0.001604,0.001604,0.001604
6,566.029,0.2695,0.19979,0.23637,0.89066,0.99994,1,0.995,0.995,0.99994,1,0.995,0.995,0.15761,0.06075,0.15162,0.78849,0.001505,0.001505,0.001505
7,655.999,0.2469,0.17334,0.21675,0.88341,0.99994,1,0.995,0.99492,0.99994,1,0.995,0.995,0.13712,0.04375,0.13728,0.78307,0.001406,0.001406,0.001406
8,746.39,0.23692,0.18581,0.20422,0.88359,0.99994,1,0.995,0.99493,0.99994,1,0.995,0.995,0.13028,0.04834,0.1341,0.7801,0.001307,0.001307,0.001307
9,835.667,0.24121,0.18227,0.21448,0.88537,0.99972,1,0.995,0.99402,0.99972,1,0.995,0.995,0.14644,0.04699,0.13959,0.78237,0.001208,0.001208,0.001208
10,926.745,0.22739,0.1733,0.20349,0.8856,0.99994,1,0.995,0.995,0.99994,1,0.995,0.995,0.11131,0.04289,0.11354,0.77366,0.001109,0.001109,0.001109
11,1033.79,0.18593,0.14996,0.17398,0.84607,0.9993,1,0.995,0.99498,0.9993,1,0.995,0.99498,0.14138,0.03275,0.16698,0.78018,0.00101,0.00101,0.00101
12,1116.57,0.17617,0.1457,0.16626,0.84425,0.99994,1,0.995,0.995,0.99994,1,0.995,0.995,0.13061,0.04034,0.12014,0.77778,0.000911,0.000911,0.000911
13,1199.42,0.16907,0.14474,0.15715,0.84532,0.99979,1,0.995,0.995,0.99979,1,0.995,0.995,0.10092,0.04282,0.11137,0.77344,0.000812,0.000812,0.000812
14,1282.82,0.15538,0.13945,0.14847,0.84684,0.99995,1,0.995,0.995,0.99995,1,0.995,0.995,0.08954,0.03229,0.0938,0.76691,0.000713,0.000713,0.000713
15,1365.33,0.13873,0.13372,0.13742,0.82808,0.99995,1,0.995,0.995,0.99995,1,0.995,0.995,0.09761,0.0345,0.09755,0.76867,0.000614,0.000614,0.000614
16,1447.93,0.13162,0.12983,0.12727,0.83496,0.99995,1,0.995,0.995,0.99995,1,0.995,0.995,0.08205,0.03408,0.08968,0.76837,0.000515,0.000515,0.000515
17,1530.8,0.12831,0.12619,0.12558,0.83509,0.99934,1,0.995,0.995,0.99934,1,0.995,0.995,0.08495,0.03474,0.11449,0.77347,0.000416,0.000416,0.000416
18,1613.82,0.11733,0.12179,0.12239,0.82879,0.99995,1,0.995,0.995,0.99995,1,0.995,0.995,0.06284,0.02883,0.07289,0.76406,0.000317,0.000317,0.000317
19,1696.11,0.10216,0.12163,0.10436,0.82842,0.99995,1,0.995,0.995,0.99995,1,0.995,0.995,0.05168,0.03072,0.06603,0.7633,0.000218,0.000218,0.000218
20,1776.79,0.09355,0.11905,0.09714,0.82334,0.99995,1,0.995,0.995,0.99995,1,0.995,0.995,0.04647,0.03019,0.06403,0.76238,0.000119,0.000119,0.000119
