epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1082.41,0.33869,0.57094,0.54499,0.88217,0.9996,0.99994,0.99499,0.9842,0.99967,0.99987,0.99499,0.96082,0.17467,0.32464,0.1865,0.78828,0.003332,0.003332,0.003332
2,2024.26,0.30007,0.37061,0.28949,0.86517,0.99959,0.9998,0.995,0.98557,0.99953,0.99977,0.995,0.97242,0.17395,0.25757,0.15119,0.79035,0.0063354,0.0063354,0.0063354
3,2945.98,0.30686,0.36149,0.25965,0.87151,0.99927,0.99957,0.99499,0.98782,0.9993,0.9996,0.995,0.97486,0.17988,0.28242,0.14837,0.79124,0.0090088,0.0090088,0.0090088
4,3854.86,0.28792,0.34976,0.23374,0.8672,0.9997,0.99975,0.995,0.99074,0.99977,0.99982,0.995,0.98058,0.14768,0.23169,0.12084,0.77941,0.008515,0.008515,0.008515
5,4756.1,0.25708,0.31832,0.20681,0.85767,0.99973,0.99993,0.995,0.99287,0.99973,0.99993,0.995,0.98569,0.13233,0.2095,0.10585,0.7741,0.00802,0.00802,0.00802
6,5663.86,0.23676,0.29721,0.1902,0.85259,0.9998,0.99997,0.995,0.99359,0.9998,0.99997,0.995,0.98739,0.12267,0.19696,0.0993,0.77088,0.007525,0.007525,0.007525
7,6568.03,0.22298,0.28272,0.1788,0.84795,0.99972,1,0.995,0.99374,0.99972,1,0.995,0.98776,0.11493,0.18842,0.09242,0.76882,0.00703,0.00703,0.00703
8,7475.97,0.21223,0.26745,0.16896,0.84439,0.9999,1,0.995,0.994,0.9999,1,0.995,0.98896,0.10941,0.17574,0.08555,0.76642,0.006535,0.006535,0.006535
9,8379.1,0.2043,0.26317,0.16329,0.8435,1,1,0.995,0.99432,1,1,0.995,0.99035,0.10494,0.16829,0.0805,0.76501,0.00604,0.00604,0.00604
10,9287.2,0.19773,0.25419,0.15774,0.84148,0.99993,1,0.995,0.9944,0.99993,1,0.995,0.99046,0.10069,0.16262,0.07744,0.76338,0.005545,0.005545,0.005545
11,10198.1,0.14564,0.20187,0.11862,0.79457,0.99996,1,0.995,0.99465,0.99996,1,0.995,0.99123,0.09776,0.15704,0.07511,0.76172,0.00505,0.00505,0.00505
12,11065.1,0.13718,0.19202,0.11158,0.79142,1,1,0.995,0.99473,1,1,0.995,0.99189,0.09332,0.15153,0.07198,0.76051,0.004555,0.004555,0.004555
13,11939.2,0.12922,0.18402,0.10548,0.78894,1,1,0.995,0.99482,1,1,0.995,0.99218,0.08967,0.14716,0.06886,0.75968,0.00406,0.00406,0.00406
14,12814.8,0.12185,0.17566,0.09913,0.78706,1,0.99997,0.995,0.99487,1,0.99997,0.995,0.99257,0.08588,0.1417,0.06547,0.75873,0.003565,0.003565,0.003565
15,13682.7,0.11615,0.16992,0.09523,0.78644,1,1,0.995,0.99489,1,1,0.995,0.9929,0.08188,0.13763,0.06374,0.75813,0.00307,0.00307,0.00307
16,14551.5,0.11087,0.16428,0.08999,0.78383,1,1,0.995,0.9949,1,1,0.995,0.99299,0.07881,0.13362,0.06047,0.75754,0.002575,0.002575,0.002575
17,15423.2,0.10462,0.1564,0.08496,0.78244,1,1,0.995,0.9949,1,1,0.995,0.99294,0.0771,0.13018,0.05921,0.75727,0.00208,0.00208,0.00208
18,16293.2,0.09929,0.15101,0.07973,0.78251,1,1,0.995,0.99491,1,1,0.995,0.99319,0.07542,0.12714,0.05722,0.75693,0.001585,0.001585,0.001585
19,17165.5,0.09365,0.14328,0.07518,0.78103,1,1,0.995,0.99492,1,1,0.995,0.99324,0.07407,0.12514,0.05631,0.75664,0.00109,0.00109,0.00109
20,18034.6,0.08865,0.1367,0.07038,0.78033,0.99995,1,0.995,0.99492,0.99995,1,0.995,0.99333,0.07297,0.12336,0.05541,0.7564,0.000595,0.000595,0.000595
