epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,999.608,0.38885,0.61233,0.49745,0.89309,0.99648,0.99869,0.995,0.95339,0.99648,0.99869,0.99499,0.95178,0.31138,0.39989,0.23431,0.82324,0.000666,0.000666,0.000666
2,1794.37,0.352,0.48477,0.29084,0.87756,0.99929,0.9996,0.995,0.97635,0.99929,0.9996,0.995,0.96711,0.24138,0.33933,0.19014,0.80342,0.0012667,0.0012667,0.0012667
3,2473.64,0.32695,0.43658,0.26232,0.86871,0.99082,0.9992,0.99472,0.9826,0.99082,0.9992,0.99472,0.9707,0.20675,0.30784,0.17846,0.79273,0.0018014,0.0018014,0.0018014
4,3920.73,0.30147,0.401,0.23924,0.86111,0.99971,0.9997,0.99499,0.98687,0.99961,0.9996,0.99498,0.97943,0.19088,0.27748,0.14744,0.78703,0.001703,0.001703,0.001703
5,4851.93,0.2818,0.37316,0.22252,0.85609,0.99951,0.9998,0.995,0.98836,0.99951,0.9998,0.995,0.97826,0.17686,0.26193,0.13817,0.78536,0.001604,0.001604,0.001604
6,5652.63,0.26645,0.35045,0.20894,0.85048,0.99969,0.9999,0.995,0.99052,0.99979,1,0.995,0.98325,0.15726,0.22948,0.12611,0.77687,0.001505,0.001505,0.001505
7,6476.96,0.2583,0.34012,0.20119,0.84976,0.99984,0.9999,0.995,0.99109,0.99994,1,0.995,0.98374,0.15272,0.22604,0.11953,0.77607,0.001406,0.001406,0.001406
8,7258.05,0.24874,0.32968,0.19374,0.8469,0.99999,1,0.995,0.99096,0.99999,1,0.995,0.98552,0.15194,0.22073,0.11601,0.775,0.001307,0.001307,0.001307
9,8027.75,0.23969,0.31695,0.18557,0.84511,0.99989,1,0.995,0.99192,0.99989,1,0.995,0.98573,0.13929,0.21201,0.10992,0.77242,0.001208,0.001208,0.001208
10,8986.79,0.2298,0.30327,0.1775,0.84165,0.99997,1,0.995,0.99256,0.99997,1,0.995,0.98648,0.13509,0.20696,0.10529,0.77058,0.001109,0.001109,0.001109
11,9790.23,0.18972,0.25045,0.14946,0.80477,0.99979,1,0.995,0.99227,0.99979,1,0.995,0.98692,0.14376,0.20541,0.11607,0.77361,0.00101,0.00101,0.00101
12,10705.2,0.17853,0.23691,0.13941,0.80005,0.99988,0.9998,0.995,0.99275,0.99999,0.9999,0.995,0.98792,0.13509,0.19646,0.10573,0.76953,0.000911,0.000911,0.000911
13,11488.2,0.16855,0.22669,0.13158,0.79626,0.99998,1,0.995,0.99302,0.99998,1,0.995,0.98923,0.12399,0.18316,0.09836,0.76713,0.000812,0.000812,0.000812
14,12313.2,0.15814,0.21932,0.12306,0.79571,0.99997,1,0.995,0.9933,0.99997,1,0.995,0.98941,0.12262,0.18026,0.09449,0.7666,0.000713,0.000713,0.000713
15,12988.9,0.15076,0.20616,0.11653,0.79238,0.99989,1,0.995,0.99362,0.99989,1,0.995,0.99019,0.11379,0.17564,0.0898,0.7651,0.000614,0.000614,0.000614
16,13673.5,0.14403,0.20226,0.11042,0.79024,0.99988,1,0.995,0.99377,0.99988,1,0.995,0.99108,0.10653,0.16869,0.08429,0.76337,0.000515,0.000515,0.000515
17,14015.4,0.13692,0.19579,0.10405,0.78613,0.99999,1,0.995,0.99395,0.99999,1,0.995,0.9911,0.10652,0.16878,0.08109,0.76332,0.000416,0.000416,0.000416
18,14349.7,0.13057,0.18931,0.099,0.7856,0.99999,1,0.995,0.99398,0.99999,1,0.995,0.99142,0.10024,0.16124,0.07663,0.76168,0.000317,0.000317,0.000317
19,14819.7,0.12364,0.18122,0.09308,0.78464,0.99996,1,0.995,0.99418,0.99996,1,0.995,0.9916,0.09719,0.15902,0.07353,0.76126,0.000218,0.000218,0.000218
20,15222,0.11814,0.17717,0.08851,0.7834,0.99999,1,0.995,0.99425,0.99999,1,0.995,0.99177,0.09447,0.15825,0.07032,0.76085,0.000119,0.000119,0.000119
