epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,128.089,0.275,0.33371,0.96958,0.86041,0.99993,1,0.995,0.97038,0.99993,1,0.995,0.995,0.25548,0.0432,0.41438,0.82824,0.000664,0.000664,0.000664
2,212.251,0.23768,0.0643,0.35496,0.82564,0.99979,1,0.995,0.993,0.99979,1,0.995,0.995,0.20874,0.034,0.19576,0.80085,0.00119893,0.00119893,0.00119893
3,291.481,0.22732,0.06168,0.23772,0.81886,0.99993,1,0.995,0.99453,0.99993,1,0.995,0.995,0.17422,0.03566,0.16475,0.79277,0.00160186,0.00160186,0.00160186
4,372.413,0.20318,0.05768,0.1896,0.80936,0.99993,1,0.995,0.99486,0.99993,1,0.995,0.995,0.17948,0.02853,0.15643,0.79353,0.001406,0.001406,0.001406
5,462.654,0.17007,0.04597,0.1553,0.80013,0.99993,1,0.995,0.995,0.99993,1,0.995,0.995,0.12878,0.02772,0.13056,0.77947,0.001208,0.001208,0.001208
6,549.705,0.14638,0.04043,0.13756,0.79118,0.99989,1,0.995,0.995,0.99989,1,0.995,0.995,0.11903,0.02892,0.18443,0.78641,0.00101,0.00101,0.00101
7,634.667,0.1227,0.03875,0.11933,0.78581,0.99995,1,0.995,0.995,0.99995,1,0.995,0.995,0.09544,0.0214,0.09168,0.77194,0.000812,0.000812,0.000812
8,715.949,0.11256,0.03666,0.10912,0.77871,0.99994,1,0.995,0.995,0.99994,1,0.995,0.995,0.07995,0.02124,0.08302,0.76914,0.000614,0.000614,0.000614
9,804.612,0.09179,0.03468,0.08988,0.77877,1,1,0.995,0.995,1,1,0.995,0.995,0.06218,0.02067,0.06701,0.76669,0.000416,0.000416,0.000416
10,896.033,0.07528,0.03288,0.07772,0.7772,0.99995,1,0.995,0.995,0.99995,1,0.995,0.995,0.05383,0.01922,0.05808,0.76584,0.000218,0.000218,0.000218
