epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,186.666,1.59109,3.88573,2.11211,1.69166,0.34604,0.80749,0.38645,0.23258,0.30524,0.65934,0.29009,0.10787,1.44136,3.54023,1.58678,1.71325,0.000665162,0.000665162,0.000665162
2,362.051,1.37077,3.30151,1.70875,1.498,0.3357,0.81762,0.38275,0.24412,0.29516,0.72858,0.30483,0.14203,1.35363,3.09665,1.52193,1.63277,0.0012659,0.0012659,0.0012659
3,535.512,1.30316,3.13451,1.60868,1.4576,0.35844,0.64507,0.39843,0.2694,0.31375,0.50703,0.31314,0.14349,1.25323,3.1962,1.55573,1.58916,0.00180064,0.00180064,0.00180064
