epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,987.363,0.35722,0.55123,0.54523,0.86624,0.99909,0.99918,0.995,0.97716,0.99931,0.99885,0.995,0.96382,0.20632,0.3165,0.20916,0.78932,0.003332,0.003332,0.003332
2,1931.34,0.32564,0.39494,0.29464,0.85795,0.99977,0.99955,0.99499,0.98295,0.99979,0.99976,0.99499,0.97214,0.18666,0.26405,0.171,0.78775,0.0063354,0.0063354,0.0063354
3,2854.46,0.33133,0.38751,0.26344,0.86397,0.99887,0.99918,0.99499,0.98404,0.99898,0.99928,0.995,0.97731,0.18804,0.26607,0.15381,0.78949,0.0090088,0.0090088,0.0090088
4,3751.06,0.31187,0.37544,0.23899,0.86008,0.99971,0.99976,0.99498,0.98882,0.99971,0.99976,0.99499,0.98152,0.16724,0.23553,0.13447,0.78139,0.008515,0.008515,0.008515
5,4637.94,0.28107,0.34066,0.21138,0.8503,0.99993,0.99997,0.995,0.99116,0.99993,0.99997,0.995,0.98593,0.14985,0.21351,0.11956,0.77636,0.00802,0.00802,0.00802
6,5532.96,0.26068,0.32022,0.19501,0.84507,0.99993,0.99988,0.995,0.99236,0.99997,0.99992,0.995,0.98689,0.13552,0.20291,0.1079,0.77267,0.007525,0.007525,0.007525
7,6420.38,0.24759,0.30619,0.18426,0.8419,0.99993,0.99996,0.995,0.99268,0.99993,0.99996,0.995,0.98885,0.12924,0.18936,0.10127,0.77115,0.00703,0.00703,0.00703
8,7315.14,0.23635,0.295,0.17488,0.83816,0.99999,1,0.995,0.99336,0.99999,1,0.995,0.9899,0.12192,0.18268,0.09536,0.76886,0.006535,0.006535,0.006535
9,8203.96,0.22747,0.28621,0.16836,0.837,1,0.99999,0.995,0.99355,1,0.99999,0.995,0.99002,0.11523,0.17723,0.08806,0.76685,0.00604,0.00604,0.00604
10,9098.72,0.21866,0.2751,0.16131,0.83425,0.99997,0.99999,0.995,0.99362,0.99997,0.99999,0.995,0.98992,0.10751,0.17018,0.08438,0.76484,0.005545,0.005545,0.005545
11,10053.8,0.16678,0.22136,0.12653,0.79333,0.99989,1,0.995,0.99408,0.99989,1,0.995,0.99143,0.10724,0.16414,0.08444,0.76385,0.00505,0.00505,0.00505
12,10984.1,0.15932,0.21242,0.12062,0.79044,0.99986,1,0.995,0.9943,0.99986,1,0.995,0.99161,0.09782,0.15643,0.07736,0.7626,0.004555,0.004555,0.004555
13,11915,0.1507,0.20218,0.11379,0.7877,0.99997,1,0.995,0.99436,0.99997,1,0.995,0.99188,0.09517,0.15139,0.07439,0.76205,0.00406,0.00406,0.00406
14,12845.4,0.14274,0.19362,0.10842,0.78555,0.99996,0.99993,0.995,0.99445,1,0.99997,0.995,0.99213,0.08965,0.14215,0.07106,0.76119,0.003565,0.003565,0.003565
15,13775.9,0.1336,0.18001,0.10219,0.78445,0.99996,0.99997,0.995,0.99453,0.99999,0.99997,0.995,0.99248,0.08423,0.12969,0.06761,0.75995,0.00307,0.00307,0.00307
16,14705.7,0.12592,0.16814,0.09663,0.78198,0.99997,1,0.995,0.99456,0.99997,1,0.995,0.99259,0.08068,0.1226,0.06509,0.75862,0.002575,0.002575,0.002575
17,15635.7,0.11875,0.16039,0.0906,0.78084,0.99997,0.99997,0.995,0.99462,0.99999,0.99997,0.995,0.9929,0.07775,0.11767,0.06296,0.75885,0.00208,0.00208,0.00208
18,16564.1,0.11203,0.15174,0.08469,0.78013,0.99996,0.99993,0.995,0.99472,1,0.99997,0.995,0.99306,0.07549,0.11355,0.06107,0.75852,0.001585,0.001585,0.001585
19,17493,0.10614,0.14409,0.0802,0.77855,0.99996,0.99993,0.995,0.9947,1,0.99997,0.995,0.99312,0.07391,0.11059,0.05972,0.75809,0.00109,0.00109,0.00109
20,18421.9,0.10056,0.13751,0.07481,0.77615,0.99996,0.99993,0.995,0.99477,1,0.99997,0.995,0.99317,0.07282,0.10836,0.05875,0.75768,0.000595,0.000595,0.000595
