epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,365.639,0.33935,0.41279,0.5721,0.85743,0.98487,0.99858,0.98165,0.96943,0.98487,0.99858,0.98165,0.96913,0.20883,0.27094,0.28292,0.77828,0.000665333,0.000665333,0.000665333
2,709.295,0.30832,0.3089,0.32056,0.84534,0.9822,0.99959,0.98273,0.97452,0.9824,0.9998,0.98291,0.97556,0.20229,0.2077,0.2114,0.77447,0.00126607,0.00126607,0.00126607
3,985.075,0.28869,0.28575,0.28058,0.84212,0.98453,1,0.9831,0.97693,0.98453,1,0.9831,0.97604,0.17755,0.19397,0.18474,0.77478,0.0018008,0.0018008,0.0018008
4,1331.58,0.2701,0.26585,0.25785,0.83874,0.98462,0.99959,0.98245,0.97913,0.98462,0.99959,0.98245,0.97987,0.15529,0.15215,0.16792,0.76652,0.001703,0.001703,0.001703
5,1656.82,0.24932,0.24185,0.23878,0.83196,0.98486,1,0.98393,0.98074,0.98486,1,0.98393,0.98004,0.17132,0.1697,0.1704,0.76734,0.001604,0.001604,0.001604
6,1856.79,0.23919,0.2325,0.2279,0.83084,0.98496,1,0.98249,0.97986,0.98496,1,0.98249,0.97931,0.15441,0.14961,0.15818,0.76613,0.001505,0.001505,0.001505
7,2235.11,0.22876,0.23478,0.22043,0.83005,0.98495,1,0.98537,0.98348,0.98495,1,0.98537,0.98333,0.13217,0.15304,0.14284,0.76303,0.001406,0.001406,0.001406
8,2686.65,0.21824,0.21998,0.21007,0.82631,0.98497,1,0.98426,0.98287,0.98497,1,0.98426,0.98208,0.13225,0.13542,0.1386,0.75978,0.001307,0.001307,0.001307
9,3078.18,0.2126,0.20809,0.20333,0.82553,0.98496,1,0.98333,0.98241,0.98496,1,0.98333,0.98191,0.1178,0.13442,0.12713,0.75987,0.001208,0.001208,0.001208
10,3462.35,0.2054,0.20436,0.19758,0.82628,0.98493,1,0.98576,0.98496,0.98493,1,0.98576,0.98434,0.11436,0.12956,0.1275,0.75924,0.001109,0.001109,0.001109
11,3865.92,0.16423,0.16551,0.1731,0.78946,0.97867,1,0.98445,0.98328,0.97867,1,0.98445,0.9828,0.12194,0.13339,0.13947,0.76069,0.00101,0.00101,0.00101
12,4247.78,0.15583,0.15374,0.16595,0.78619,0.98459,0.9998,0.98604,0.98553,0.98459,0.9998,0.98604,0.98515,0.11206,0.11915,0.12977,0.75895,0.000911,0.000911,0.000911
13,4616.41,0.14452,0.14625,0.155,0.78411,0.98495,1,0.9849,0.98436,0.98495,1,0.9849,0.98302,0.11181,0.1243,0.12099,0.75824,0.000812,0.000812,0.000812
14,4983.32,0.13644,0.13992,0.14638,0.78175,0.98493,1,0.98432,0.98388,0.98493,1,0.98432,0.98396,0.10286,0.1137,0.11344,0.75674,0.000713,0.000713,0.000713
15,5376.03,0.12845,0.13547,0.13762,0.78065,0.98493,1,0.98428,0.98383,0.98493,1,0.98428,0.98373,0.1004,0.11174,0.11093,0.75696,0.000614,0.000614,0.000614
16,5727.02,0.12492,0.13168,0.13531,0.781,0.98496,1,0.98834,0.98782,0.98496,1,0.98834,0.98783,0.09135,0.10685,0.1048,0.75552,0.000515,0.000515,0.000515
17,6385.16,0.1167,0.12801,0.12778,0.77907,0.98496,1,0.98825,0.98796,0.98496,1,0.98825,0.98795,0.08973,0.10562,0.10257,0.75512,0.000416,0.000416,0.000416
18,6784.76,0.11093,0.12637,0.12374,0.77771,0.98496,1,0.98772,0.98736,0.98496,1,0.98772,0.9873,0.08407,0.10304,0.09714,0.75446,0.000317,0.000317,0.000317
19,7183.01,0.10459,0.12181,0.11781,0.77654,0.98496,1,0.98765,0.98744,0.98496,1,0.98765,0.98745,0.07617,0.10189,0.09364,0.75384,0.000218,0.000218,0.000218
20,7355.27,0.09814,0.1183,0.11275,0.77407,0.98496,1,0.98824,0.98805,0.98496,1,0.98824,0.98809,0.06927,0.09843,0.08815,0.7532,0.000119,0.000119,0.000119
